Hindi_Words,English_words
ऊष्मा,heat
विद्युत,Electricity
गतिज,Kinetic
चुंबकत्व,Magnetism
गुरुत्वाकर्षण,Gravity
द्रव्यमान,Mass
द्रव्य,Liquor
ठोस,Solid
द्रव,fluid
ऊर्जा,energy
बल,Force
समय,Time
लंबाई,Length
चौड़ाई,Width
उंचाई,Height
क्षेत्रफ़ल,Areafall
वेग,Velocity
मस्तिष्क,Brain
शरीर,Body
आत्मा,Soul
इच्छा,Desire
वास्तविक्ता,Reality
सत्य,Truth
असत्य,false
चेतना,Consciousness
तत्वमीमांसा,Metaphysics
आचार,Behaviour
सौंदर्यशास्त्र,Aesthetics
द्वारा,By
गरम,Hot
शब्द,Word
लेकिन,But
क्या,What
कुछ,Some
है,Is
या,Or
था,Was
तक,As far as
और,And
एक,One
में,In
हम,We
कर सकते हैं,can do
बाहर,Outside
अन्य,Other
कर,Tax
उनके,Their
अगर,If
होगा,Will happen
कैसे,How
कहा,Said
एक,One
प्रत्येक,Everyone
जैसा,As
मैं,I
उसके,His
कि,That
वह,He
था,Was
के लिए,For
पर,But
हैं,Are
साथ,Together
वे,They
हो,Are
पर,But
एक,One
है,Is
इस,This
से,From
अंडा,Egg
आँख ,eye
मोटा ,Fat
उड़ना ,fly
मज़ा ,fun
प्राप्त ,Received
भगवान ,God
मुर्गी,Chicken
गरम ,Hot
काम ,Work
टांग,Leg
अंत,end
डाल,put
घर,home
पढ़ा,read
हाथ,hand
बंदरगाह,port
बड़ा,large
जादू,spell
जोड़,add
और भी,even
भूमि,land
यहाँ,here
चाहिए,must
बड़ा,big
उच्च,high
ऐसा,such
का पालन करें,follow
अधिनियम,act
क्यों,why
पूछना,ask
पुरुषों,men
परिवर्तन,change
चला गया,went
प्रकाश,light
तरह,kind
बंद,off
आवश्यकता,need
घर,house
तस्वीर,picture
कोशिश,try
हमें,us
फिर,again
पशु,animal
बिंदु,point
मां,mother
दुनिया,world
निकट,near
बनाना,build
आत्म,self
दोस्त,friend
शुरू हुआ,began
विचार,idea
मछली,fish
पहाड़,mountain
रोक,stop
एक बार,once
आधार,base
सुनना,hear
घोड़ा,horse
कटौती,cut
यकीन,sure
घड़ी,watch
रंग,color
चेहरा,face
लकड़ी,wood
मुख्य,main
खुला,open
प्रतीत,seem
एक साथ,together
अगला,next
सफेद,white
बच्चों,children
प्रारंभ करना,begin
मिला,got
चलना,walk
उदाहरण,example
आसानी,ease
कागज,paper
समूह,group
सदैव,always
संगीत,music
उन,those
दोनों,both
मार्क,mark
अक्सर,often
पत्र,letter
जब तक,until
मील,mile
नदी,river
कार,car
पैर,feet
देखभाल,care
दूसरा,second
पर्याप्त,enough
सादे,plain
लड़की,girl
हमेशा की तरह,usual
युवा,young
तैयार,ready
ऊपर,above
कभी,ever
लाल,red
सूची,list
हालांकि,though
लग रहा है,feel
वार्ता,talk
पक्षी,bird
शीघ्र,soon
शरीर,body
कुत्ते,dog
परिवार,family
प्रत्यक्ष,direct
ढोंग,pose
छोड़,leave
गीत,song
नाप,measure
दरवाजा,door
उत्पाद,product
काला,black
कम,short
अंक,numeral
क्लास,class
हवा,wind
सवाल,question
होना,happen
पूरा,complete
जहाज,ship
क्षेत्र,area
आधा,half
रॉक,rock
आदेश,order
आग,fire
दक्षिण,south
समस्या,problem
टुकड़ा,piece
बताया,told
पता था,knew
पास,pass
के बाद से,since
शीर्ष,top
पूरे,whole
राजा,king
सड़क,street
इंच,inch
गुणा,multiply
कुछ नहीं,nothing
कोर्स,course
रहना,stay
पहिया,wheel
पूर्ण,full
बल,force
नीला,blue
वस्तु,object
तय,decide
सतह,surface
गहरा,deep
चांद,moon
द्वीप,island
पैर,foot
प्रणाली,system
व्यस्त,busy
परीक्षण,test
रिकॉर्ड,record
नाव,boat
आम,common
सोना,gold
संभव,possible
विमान,plane
जगह,stead
सूखा,dry
आश्चर्य,wonder
हंसी,laugh
हजार,thousand
पहले,ago
भागा,ran
जाँच,check
खेल,game
आकार,shape
समानता,equate
गरम,hot
मिस,miss
लाया,brought
गर्मी,heat
बर्फ,snow
टायर,tire
ठीक,fine
कुछ,certain
मक्खी,fly
गिरावट,fall
नेतृत्व,lead
रोना,cry
अंधेरा,dark
मशीन,machine
नोट,note
इंतजार,wait
योजना,plan
आंकड़ा,figure
सितारा,star
बॉक्स,box
संज्ञा,noun
क्षेत्र,field
बाकी,rest
सही,correct
सक्षम,able
पाउंड,pound
किया,done
सुंदरता,beauty
ड्राइव,drive
खड़ा हुआ,stood
होते हैं,contain
सामने,front
सिखाना,teach
सप्ताह,week
अंतिम,final
दिया,gave
ओह,oh
त्वरित,quick
विकसित,develop
सागर,ocean
गर्म,warm
मुक्त,free
मिनट,minute